"Do.you.celebrate.Christmas.","What.do.you.typically.do.on.Christmas..Select.all.that.apply.","When.you..celebrate.Christmas...is.the.celebration.larger.on.the.24th.or.25th.of.December.","Do.you.attend.religious.service.on.Christmas.","When.you.were.under.18..did.you.receive.gifts.from.your.parents.for.Christmas.","If.you.answered...Yes..and.they.claimed.they.were.from.Santa..to.the.previous.question..at.what.age.did.you.realize.Santa.wasn.t.real.","Which.of.the.following.desserts.candies.do.you.consume.on.Christmas.","Which.of.the.following.beverages.do.you.consume.on.Christmas.","Which.of.the.following.foods.do.you.consume.on.Christmas.","Describe.Christmas.in.three.words","What.do.you.typically.do.on.Christmas..Select.all.that.apply..1","When.you.were.under.18..did.you.receive.gifts.from.your.parents.for.Christmas..1","If.you.answered...Yes..and.they.claimed.they.were.from.Santa..to.the.previous.question..at.what.age.did.you.realize.Santa.wasn.t.real..1","Describe.Christmas.in.three.words.1","What.is.your.gender.","What.is.your.age.group.","How.would.you.describe.your.religion.","Do.you.attend.religious.services.regularly.","How.would.you.describe.your.religion.before.you.were.18.","How.frequently.did.you.attend.religious.services.before.you.were.18.","Which.region.of.the.US.do.you.live.in."
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","Both are about the same","Not anymore","Yes, and they claimed they were from Santa",8,"Pie (any)","Eggnog","Prime Rib","Christ baby family","","",NA,"","Female","45-54","Christianity, non-Evangelical Protestant","3+ times a month","Christianity, non-Evangelical Protestant","3+ times a month","West"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, and they claimed they were from Santa",11,"Cookies","","Bread rolls;Ham;Mashed potatoes","Its my favorite","","",NA,"","Female","55+","Christianity, non-Evangelical Protestant","3+ times a month","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"Yes","Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",10,"Cookies;Gingerbread;Pie (pumpkin)","Apple cider;Eggnog","Prime Rib","Peaceful loving sharing","","",NA,"","Female","45-54","Other","Never","Other","Rarely","West"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, and they claimed they were from Santa",4,"Candy Canes;Cookies","Wine","Ham;Mashed potatoes","Food warm lights","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",7,"Christmas cake/fruit cake;Cookies;Gingerbread","Buttered rum;Champagne;Wine","Chicken;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","Fun Exciting Expensive","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, but they didn't say they were from Santa",NA,"Gingerbread","Champagne","","Jul family hygge","","",NA,"","Male","25-34","Atheist/agnostic","Never","Atheist/agnostic","Rarely","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Not anymore","Yes, and they claimed they were from Santa",10,"Cookies;Gingerbread","Apple cider","Prime Rib","Romantic Happy Stressful","","",NA,"","Male","18-24","Christianity, Evangelical","Never","Christianity, Evangelical","Rarely","I do not live in the United States"
"No","","","","",NA,"","","","","Wear an ugly sweater","No",NA,"great holiday sales","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Rarely","Southwest"
"No","","","","",NA,"","","","","See a movie in a theater;Order food from a restaurant","No",22,"Holiday with family","Female","18-24","Atheist/agnostic","Never","Judaism","1-2 times a month","Northeast"
"Yes","Attend religious service;Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Sometimes","Yes, and they claimed they were from Santa",6,"Cookies;Pie (pumpkin)","Eggnog","Chicken","Warm family gathering","","",NA,"","Female","55+","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Southwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, and they claimed they were from Santa",11,"Candy Canes;Cookies;Pie (any)","Eggnog","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","Magical Joyous Divine","","",NA,"","Male","35-44","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Order food from a restaurant;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Never","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Gingerbread","Apple cider;Champagne","Chicken;Mashed potatoes;Turkey","Fun indulgence food","","",NA,"","Female","Under 18","Other","Never","Other","I am still under 18","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Order food from a restaurant;Exchange gifts with family and/or friends;Wear an ugly sweater","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",10,"Candy Canes;Cookies;Gingerbread;Pie (apple)","Apple cider;Wine","Bread rolls;Ham;Mashed potatoes","Lively festive fun","","",NA,"","Female","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"No","","","","",NA,"","","","","Spend time with family","Yes, but they didn't say they were from Santa",NA,"Boring Stress Bullshit","Male","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Order food from a restaurant;Exchange gifts with family and/or friends;Wear an ugly sweater","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",6,"Cookies","Wine","Ham","Jesus family peace","","",NA,"","Female","25-34","Christianity, non-Evangelical Protestant","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",14,"Cookies;Pie (pumpkin)","Apple cider","Bread rolls;Chicken;Mashed potatoes","overdone commercial family","","",NA,"","Male","18-24","Atheist/agnostic","Rarely","Christianity, other","1-2 times a month","Northeast"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Never","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies;Pie (any);Pie (apple);Pie (pumpkin);Pie (pecan)","Apple cider;Eggnog","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","family children santa","","",NA,"","Female","25-34","Atheist/agnostic","Never","Christianity, other","Rarely","Southwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (any)","Eggnog","Ham","Jesus birth gifts","","",NA,"","Female","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, and they claimed they were from Santa",8,"Gingerbread","","Fish;Ham","Family Food Consumerism","","",NA,"","Male","18-24","Atheist/agnostic","Never","Atheist/agnostic","Rarely","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, and they claimed they were from Santa",8,"Christmas cake/fruit cake;Cookies","Champagne;Eggnog;Wine","Bread rolls;Chicken;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","Celebrating the Lord","","",NA,"","Female","25-34","Christianity, non-Evangelical Protestant","3+ times a month","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"Yes","Spend time with family;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",13,"Candy Canes;Pie (any)","","","Family Christ commercialized","","",NA,"","Other","18-24","Christianity, other","Never","Christianity, other","Never","Southeast"
"No","","","","",NA,"","","","","","Yes, but they didn't say they were from Santa",NA,"boring religious money","Other","25-34","Atheist/agnostic","Never","Atheist/agnostic","1-2 times a month","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (any)","Apple cider;Eggnog","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","Jesus birthday gift","","",NA,"","Female","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Northeast"
"No","","","","",NA,"","","","","Spend time with family;See a movie in a theater;Order food from a restaurant;Exchange gifts with family and/or friends","Yes, and they claimed they were from Santa",9,"Joy love gemuetlichkeit","Female","55+","Christianity, other","Never","Atheist/agnostic","Rarely","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, but they didn't say they were from Santa",NA,"Cookies;Gingerbread","Wine","Chicken;Stuffing/Dressing","Family loud organisation","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Rarely","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, but they didn't say they were from Santa",NA,"Cookies","Apple cider;Eggnog;Wine","Fish","cozy love family","","",NA,"","Female","25-34","Atheist/agnostic","Rarely","Atheist/agnostic","3+ times a month","West"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",8,"Christmas cake/fruit cake;Cookies","","Bread rolls;Chicken;Fish;Ham;Mashed potatoes;Prime Rib","Food Family Love","","",NA,"","Male","25-34","Atheist/agnostic","Never","Christianity, other","1-2 times a month","West"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",10,"Christmas cake/fruit cake;Cookies;Pie (any)","Eggnog;Wine","Bread rolls;Ham;Mashed potatoes","celebrate Jesus birth","","",NA,"","Male","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",6,"Candy Canes;Cookies;Pie (any);Pie (pecan)","Eggnog","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes","fun cold gifts","","",NA,"","Male","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","Southeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Order food from a restaurant;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Not anymore","Yes, and they claimed they were from Santa",5,"Candy Canes;Christmas cake/fruit cake","Apple cider;Wine","Chicken;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","Family food love","","",NA,"","Female","18-24","Atheist/agnostic","Never","Christianity, Catholic","Rarely","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",12,"Cookies;Pie (any)","Eggnog","Ham","Family church gifts","Attend religious service;Spend time with family;Exchange gifts with family and/or friends","Yes, and they claimed they were from Santa",12,"Family church gifts","Male","18-24","Atheist/agnostic","Rarely","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family","25th","Always/almost always","Yes, and they claimed they were from Santa",9,"Cookies;Gingerbread","Eggnog","Bread rolls;Stuffing/Dressing;Turkey","Jesus family peace","","",NA,"","Male","18-24","Christianity, other","3+ times a month","Christianity, other","3+ times a month","I do not live in the United States"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Never","Yes, and they claimed they were from Santa",8,"Cookies;Gingerbread","","Mashed potatoes;Turkey","Festive merry cold","","",NA,"","Male","18-24","Atheist/agnostic","Never","Christianity, other","Rarely","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Gingerbread;Pie (any);Pie (apple);Pie (pumpkin);Pie (pecan)","Apple cider","Bread rolls;Ham;Mashed potatoes","family joy fun","","",NA,"","Female","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with friends","","Always/almost always","Yes, and they claimed they were from Santa",60,"Cookies;Pie (pumpkin)","","Bread rolls;Mashed potatoes;Stuffing/Dressing;Turkey","Joy love peace","","",NA,"","Female","55+","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","West"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Sometimes","Yes, and they claimed they were from Santa",10,"Candy Canes","","Bread rolls;Stuffing/Dressing;Turkey","Best time ever","","",NA,"","Female","18-24","Atheist/agnostic","1-2 times a month","Atheist/agnostic","Rarely","I do not live in the United States"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, and they claimed they were from Santa",10,"Christmas cake/fruit cake;Pie (any)","Champagne;Wine","Bread rolls;Chicken;Mashed potatoes","A good time","","",NA,"","Male","25-34","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Sometimes","Yes, and they claimed they were from Santa",0,"Candy Canes;Christmas cake/fruit cake;Cookies;Gingerbread;Pie (pecan);Pie (sweet potato)","Apple cider;Eggnog","Bread rolls;Chicken;Ham;Macaroni and cheese;Stuffing/Dressing","A miracle Birthday","","",NA,"","Female","55+","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Southeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",9,"Cookies","Champagne;Wine","Bread rolls;Mashed potatoes;Stuffing/Dressing;Turkey","Faith family crazy","","",NA,"","Female","55+","Christianity, Catholic","1-2 times a month","Christianity, Catholic","1-2 times a month","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Not anymore","Yes, but they didn't say they were from Santa",NA,"Cookies;Gingerbread","","Fish;Mashed potatoes","fun winter family","","",NA,"","Female","18-24","Christianity, other","Never","Christianity, other","Never","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Order food from a restaurant","24th","Sometimes","Yes, and they claimed they were from Santa",10,"Candy Canes;Cookies;Gingerbread;Pie (any);Pie (apple);Pie (pumpkin)","Apple cider;Champagne;Wine","Bread rolls;Chicken;Mashed potatoes;Stuffing/Dressing;Turkey","Omelette de fromage","","",NA,"","Other","25-34","Atheist/agnostic","Rarely","Atheist/agnostic","Never","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Sometimes","Yes, but they didn't say they were from Santa",NA,"","Apple cider","Bread rolls;Mashed potatoes","Family Jesus wonder","","",NA,"","Male","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Never","Yes, and they claimed they were from Santa",4,"Candy Canes;Christmas cake/fruit cake;Cookies;Pie (apple)","Apple cider;Eggnog","Bread rolls;Chicken;Mashed potatoes;Stuffing/Dressing;Turkey","Busy expensive home","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Rarely","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",8,"Candy Canes;Cookies;Gingerbread;Pie (any);Pie (apple);Pie (pumpkin);Pie (pecan);Pie (sweet potato)","Eggnog;Wine","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","God with us","","",NA,"","Male","25-34","Christianity, Evangelical","3+ times a month","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Not anymore","Yes, and they claimed they were from Santa",8,"Cookies;Pie (apple);Pie (pecan)","Eggnog","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes","Winter family gathering","","",NA,"","Male","25-34","Atheist/agnostic","Never","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",10,"Cookies","Wine","Bread rolls;Stuffing/Dressing","colorful fun festive","","",NA,"","Male","25-34","Other","Rarely","Other","3+ times a month","Southwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",NA,"Cookies","Eggnog","","Fun overdone love","","",NA,"","Female","45-54","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Order food from a restaurant;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",8,"Cookies","Champagne","Chicken","cold busy hectic","","",NA,"","Female","18-24","Christianity, Catholic","Rarely","Christianity, Catholic","1-2 times a month","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies","Wine","Bread rolls;Fish;Turkey","family cozy vacation","","",NA,"","Male","18-24","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"No","","","","",NA,"","","","","Wear an ugly sweater","Yes, and they claimed they were from Santa",9,"Just another day","Female","45-54","Other","Never","Other","1-2 times a month","Southwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, but they didn't say they were from Santa",NA,"Christmas cake/fruit cake;Cookies;Gingerbread;Pie (any);Pie (pumpkin)","Eggnog","Bread rolls;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","Taken-over by capitalism","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","Rarely","Southwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies;Pie (any)","Eggnog","Bread rolls;Ham;Mashed potatoes","Birth of Jesus","","",NA,"","Female","55+","Christianity, Evangelical","3+ times a month","Other","Rarely","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Sometimes","Yes, and they claimed they were from Santa",7,"Cookies;Pie (any)","Champagne;Eggnog","Macaroni and cheese;Prime Rib;Stuffing/Dressing","Days off work","","",NA,"","Female","35-44","Atheist/agnostic","Never","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",7,"Cookies;Pie (any);Pie (pumpkin);Pie (pecan)","Eggnog","Bread rolls;Chicken;Ham;Mashed potatoes","Magical sacred family","","",NA,"","Female","55+","Christianity, non-Evangelical Protestant","3+ times a month","Other","Rarely","Midwest"
"No","","","","",NA,"","","","","Spend time with family;Spend time with friends","Yes, but they didn't say they were from Santa",NA,"It is pagan","Female","35-44","Other","Never","Atheist/agnostic","Never","Southeast"
"No","","","","",NA,"","","","","See a movie in a theater;Order food from a restaurant","No",NA,"Booooorrrring annoying superficial","Female","Under 18","Atheist/agnostic","Never","I am still under 18","I am still under 18","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",8,"Candy Canes;Cookies","Champagne","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Turkey","Quality family time","","",NA,"","Female","25-34","Atheist/agnostic","Never","Christianity, Catholic","Rarely","Southeast"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Always/almost always","Yes, and they claimed they were from Santa",8,"Gingerbread;Pie (any)","","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing","Emmanuel consumerism expectations","","",NA,"","Female","55+","Christianity, Evangelical","3+ times a month","Christianity, non-Evangelical Protestant","3+ times a month","Southeast"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",10,"Candy Canes;Cookies","Apple cider;Eggnog;Wine","Stuffing/Dressing;Turkey","Chocolate-orange snow exciting","","",NA,"","Male","25-34","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"No","","","","",NA,"","","","","","Yes, and they claimed they were from Santa",7,"overrated consumerist sappy","Male","35-44","Atheist/agnostic","Never","Christianity, non-Evangelical Protestant","3+ times a month","West"
"Yes","Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, but they didn't say they were from Santa",12,"Candy Canes;Christmas cake/fruit cake;Gingerbread;Pie (any)","Apple cider","Bread rolls;Chicken;Ham;Macaroni and cheese;Mashed potatoes;Prime Rib;Stuffing/Dressing;Turkey","Fun love busy","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Rarely","West"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",NA,"Cookies","Eggnog","","Fun overdone love","","",NA,"","Female","45-54","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Not anymore","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies;Pie (any)","","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes","Consumerist depressing cold","","",NA,"","Male","25-34","Atheist/agnostic","Rarely","Christianity, Catholic","1-2 times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, and they claimed they were from Santa",8,"Pie (pumpkin)","Eggnog;Wine","Ham","Miracle joyous family","","",NA,"","Female","25-34","Christianity, other","1-2 times a month","Christianity, Catholic","Rarely","Northeast"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","24th","Never","Yes, and they claimed they were from Santa",11,"Candy Canes;Cookies;Pie (any);Pie (apple)","Apple cider","Bread rolls;Ham;Mashed potatoes","A fun holiday","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Rarely","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",12,"","","Stuffing/Dressing;Turkey","Best day ever","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"No","","","","",NA,"","","","","See a movie in a theater","Yes, and they claimed they were from Santa",8,"Sad burden annoying","Female","45-54","Christianity, other","Rarely","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Sometimes","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Christmas cake/fruit cake;Cookies;Gingerbread;Pie (any);Pie (apple);Pie (pumpkin);Pie (pecan)","Apple cider;Eggnog","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","Family food decorations","","",NA,"","Female","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Northeast"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Order food from a restaurant;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, and they claimed they were from Santa",12,"Candy Canes;Christmas cake/fruit cake;Cookies;Gingerbread;Pie (any);Pie (apple);Pie (sweet potato)","Apple cider;Champagne;Wine","Bread rolls;Chicken;Fish;Ham;Macaroni and cheese;Mashed potatoes;Prime Rib;Stuffing/Dressing;Turkey","Miracle loving restore","","",NA,"","Female","25-34","Christianity, Catholic","Rarely","Christianity, other","1-2 times a month","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies;Gingerbread","Champagne","Bread rolls;Chicken;Ham;Mashed potatoes;Prime Rib","Happy family giving","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","West"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",8,"Candy Canes;Cookies;Pie (apple);Pie (pumpkin)","Apple cider;Eggnog","Bread rolls;Ham;Mashed potatoes","Joy love family","","",NA,"","Female","45-54","Christianity, other","1-2 times a month","Christianity, other","3+ times a month","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, and they claimed they were from Santa",10,"Candy Canes;Cookies","","Bread rolls;Ham;Mashed potatoes;Turkey","Family Food Presents","","",NA,"","Male","25-34","Christianity, non-Evangelical Protestant","Rarely","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"No","","","","",NA,"","","","","Spend time with family;Spend time with friends;Exchange gifts with family and/or friends","Yes, and they claimed they were from Santa",7,"Christian winter presents","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, but they didn't say they were from Santa",NA,"","Wine","","soft warm home","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","Rarely","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",NA,"Cookies","Eggnog","","Fun overdone love","","",NA,"","Female","45-54","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Sometimes","Yes, and they claimed they were from Santa",12,"Candy Canes;Cookies;Gingerbread;Pie (pumpkin)","Eggnog","Bread rolls;Ham;Mashed potatoes;Turkey","Joy Family Love","","",NA,"","Female","18-24","Christianity, Catholic","Rarely","Christianity, Catholic","Rarely","I do not live in the United States"
"No","","","","",NA,"","","","","Spend time with family","Yes, and they claimed they were from Santa",10,"Another work day","Male","55+","Other","Never","Christianity, Evangelical","3+ times a month","Northeast"
